,Department,Job,Q1,Q2,Q3,Q4
0,Accounting,Account Representative IV,1,0,0,0
1,Accounting,Actuary,0,1,0,0
2,Accounting,Analyst Programmer,0,0,1,0
3,Accounting,Budget/Accounting Analyst III,0,1,0,0
4,Accounting,Cost Accountant,0,1,0,0
5,Accounting,Database Administrator III,0,0,0,1
6,Accounting,Desktop Support Technician,0,0,1,0
7,Accounting,Food Chemist,1,0,0,0
8,Accounting,Graphic Designer,0,1,0,0
9,Accounting,Health Coach III,0,0,0,1
10,Accounting,Health Coach IV,0,0,1,0
11,Accounting,Help Desk Technician,0,0,1,0
12,Accounting,Junior Executive,0,0,1,0
13,Accounting,Legal Assistant,0,0,1,1
14,Accounting,Media Manager III,0,1,0,0
15,Accounting,Programmer Analyst IV,0,1,1,1
16,Accounting,Programmer III,0,0,1,0
17,Accounting,Research Assistant IV,0,0,1,0
18,Accounting,Sales Representative,1,0,1,0
19,Accounting,Senior Cost Accountant,0,0,0,1
20,Accounting,Senior Developer,0,0,0,1
21,Accounting,Software Test Engineer IV,0,0,1,0
22,Accounting,Statistician I,0,0,0,1
23,Accounting,Statistician II,0,0,0,2
24,Accounting,Structural Analysis Engineer,0,1,2,0
25,Accounting,VP Accounting,0,0,1,0
26,Accounting,Web Designer I,0,0,0,1
27,Accounting,Web Designer III,0,0,0,1
28,Accounting,Web Developer I,0,1,0,0
29,Accounting,Web Developer III,0,0,0,2
30,Business Development,Account Executive,0,2,0,1
31,Business Development,Account Representative III,0,1,0,0
32,Business Development,Account Representative IV,0,1,0,1
33,Business Development,Accountant I,0,0,1,0
34,Business Development,Accountant IV,0,2,1,0
35,Business Development,Accounting Assistant I,0,0,1,0
36,Business Development,Actuary,1,0,1,1
37,Business Development,Administrative Assistant I,1,0,0,0
38,Business Development,Administrative Assistant III,1,0,0,0
39,Business Development,Administrative Officer,0,1,0,0
40,Business Development,Analog Circuit Design manager,1,2,1,0
41,Business Development,Analyst Programmer,0,1,0,0
42,Business Development,Assistant Manager,0,0,0,1
43,Business Development,Associate Professor,0,0,1,0
44,Business Development,Automation Specialist I,0,0,0,2
45,Business Development,Automation Specialist IV,0,1,0,0
46,Business Development,Biostatistician II,0,0,0,1
47,Business Development,Biostatistician III,0,0,0,2
48,Business Development,Budget/Accounting Analyst I,1,0,0,0
49,Business Development,Budget/Accounting Analyst III,0,1,0,0
50,Business Development,Budget/Accounting Analyst IV,0,1,1,2
51,Business Development,Civil Engineer,0,2,0,1
52,Business Development,Clinical Specialist,1,1,0,2
53,Business Development,Community Outreach Specialist,0,0,0,1
54,Business Development,Computer Systems Analyst III,0,0,0,1
55,Business Development,Computer Systems Analyst IV,0,1,0,0
56,Business Development,Database Administrator II,0,1,0,0
57,Business Development,Database Administrator III,1,0,0,1
58,Business Development,Database Administrator IV,0,0,0,1
59,Business Development,Dental Hygienist,0,0,3,0
60,Business Development,Developer II,0,1,1,0
61,Business Development,Director of Sales,0,0,1,0
62,Business Development,Environmental Tech,0,1,0,0
63,Business Development,Executive Secretary,0,2,1,0
64,Business Development,Food Chemist,0,0,0,2
65,Business Development,GIS Technical Architect,0,1,0,0
